crsyr,origin_loc,cross_loc,us_loc,origin_coords,cross_coords,us_coords,flow
1972,Guanajuato,"Tijuana, Baja California del Norte","Chicago, IL ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-88.125016, 42.371614)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -88.125016 42.371614)"
1980,Guanajuato,"Tijuana, Baja California del Norte","San Diego, CA ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1978,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -118.1362299 33.760599)"
1980,Guanajuato,"Tijuana, Baja California del Norte","San Jose, CA ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-121.890583, 37.3361905)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -121.890583 37.3361905)"
1975,Guanajuato,"Nuevo Laredo, Tamaulipas","Chicago, IL ","(-101.0, 20.9876996)","(-99.5185992, 27.4761506)","(-88.125016, 42.371614)","LINESTRING (-101 20.9876996, -99.5185992 27.4761506, -88.125016 42.371614)"
1978,Guanajuato,"Tijuana, Baja California del Norte","San Diego, CA ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1947,"Monterrey, Nuevo León","Matamoros, Tamaulipas","San Antonio, TX ","(-100.315258, 25.6802019)","(-97.5017951, 25.8520977)","(-98.4951405, 29.4246002)","LINESTRING (-100.315258 25.6802019, -97.5017951 25.8520977, -98.49514050000001 29.4246002)"
1986,Guanajuato,"Tijuana, Baja California del Norte","San Diego, CA ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1978,"León, Guanajuato","Tijuana, Baja California del Norte","Orange County, CA ","(-101.6825081, 21.1218598)","(-117.0412813, 32.5132984)","(-117.8704931, 33.7500378)","LINESTRING (-101.6825081 21.1218598, -117.0412813 32.5132984, -117.8704931 33.7500378)"
1980,Guanajuato,"Tijuana, Baja California del Norte","San Diego, CA ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1924,Guanajuato,"Juárez, Chihuahua","Kansas City, MO-KS ","(-101.0, 20.9876996)","(-106.0277621, 28.6517723)","(-94.6103616, 39.0904745)","LINESTRING (-101 20.9876996, -106.0277621 28.6517723, -94.6103616 39.0904745)"
1966,Guanajuato,"Tijuana, Baja California del Norte","San Diego, CA ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1975,Guanajuato,"Juárez, Chihuahua","Chicago, IL ","(-101.0, 20.9876996)","(-106.0277621, 28.6517723)","(-88.125016, 42.371614)","LINESTRING (-101 20.9876996, -106.0277621 28.6517723, -88.125016 42.371614)"
1972,"León, Guanajuato","Tijuana, Baja California del Norte","Chicago, IL ","(-101.6825081, 21.1218598)","(-117.0412813, 32.5132984)","(-88.125016, 42.371614)","LINESTRING (-101.6825081 21.1218598, -117.0412813 32.5132984, -88.125016 42.371614)"
1980,"León, Guanajuato","Tijuana, Baja California del Norte","San Diego, CA ","(-101.6825081, 21.1218598)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-101.6825081 21.1218598, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1974,Guanajuato,"Mexicali, Baja California del Norte","San Diego, CA ","(-101.0, 20.9876996)","(-115.506256, 32.658421)","(-117.1627728, 32.7174202)","LINESTRING (-101 20.9876996, -115.506256 32.658421, -117.1627728 32.7174202)"
1985,Guanajuato,"Nuevo Laredo, Tamaulipas","Chicago, IL ","(-101.0, 20.9876996)","(-99.5185992, 27.4761506)","(-88.125016, 42.371614)","LINESTRING (-101 20.9876996, -99.5185992 27.4761506, -88.125016 42.371614)"
1976,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Fresno, CA ","(-99.1269583, 19.2667215)","(-117.0412813, 32.5132984)","(-119.7848307, 36.7394421)","LINESTRING (-99.1269583 19.2667215, -117.0412813 32.5132984, -119.7848307 36.7394421)"
1966,Guanajuato,"Matamoros, Tamaulipas","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-97.5017951, 25.8520977)","(-118.1362299, 33.760599)","LINESTRING (-101 20.9876996, -97.5017951 25.8520977, -118.1362299 33.760599)"
1974,"Tijuana, Baja California del Norte","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-117.0412813, 32.5132984)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-117.0412813 32.5132984, -117.0412813 32.5132984, -118.1362299 33.760599)"
1970,Guanajuato,"Tijuana, Baja California del Norte","San Jose, CA ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-121.890583, 37.3361905)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -121.890583 37.3361905)"
1970,Guanajuato,"Tijuana, Baja California del Norte","Ventura, CA ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-119.0779359, 34.4458248)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -119.0779359 34.4458248)"
1980,Guanajuato,"Piedras Negras, Coahuila de Zaragoza","Kansas City, MO-KS ","(-101.0, 20.9876996)","(-100.5267104, 28.6998135)","(-94.6103616, 39.0904745)","LINESTRING (-101 20.9876996, -100.5267104 28.6998135, -94.6103616 39.0904745)"
1979,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -118.1362299 33.760599)"
1977,Guanajuato,"Tijuana, Baja California del Norte","San Diego, CA ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1979,Guanajuato,"Mexicali, Baja California del Norte","Reno, NV ","(-101.0, 20.9876996)","(-115.506256, 32.658421)","(-119.8126581, 39.5261206)","LINESTRING (-101 20.9876996, -115.506256 32.658421, -119.8126581 39.5261206)"
1969,Guanajuato,"Mexicali, Baja California del Norte","Merced, CA ","(-101.0, 20.9876996)","(-115.506256, 32.658421)","(-120.7678602, 37.1641544)","LINESTRING (-101 20.9876996, -115.506256 32.658421, -120.7678602 37.1641544)"
1985,Guanajuato,"Tijuana, Baja California del Norte","Reno, NV ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-119.8126581, 39.5261206)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -119.8126581 39.5261206)"
1971,Guanajuato,"Tijuana, Baja California del Norte","San Diego, CA ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1986,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -118.1362299 33.760599)"
1969,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-99.1269583, 19.2667215)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-99.1269583 19.2667215, -117.0412813 32.5132984, -118.1362299 33.760599)"
1979,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -118.1362299 33.760599)"
1979,Guanajuato,"Tijuana, Baja California del Norte","Bakersfield, CA ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-119.0194639, 35.3738712)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -119.0194639 35.3738712)"
1956,"San Francisco del Rincón, Guanajuato","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.79832877670424, 20.92484015)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-101.7983287767042 20.92484015, -117.0412813 32.5132984, -118.1362299 33.760599)"
1941,Guanajuato,"Matamoros, Tamaulipas","San Antonio, TX ","(-101.0, 20.9876996)","(-97.5017951, 25.8520977)","(-98.4951405, 29.4246002)","LINESTRING (-101 20.9876996, -97.5017951 25.8520977, -98.49514050000001 29.4246002)"
1984,Guanajuato,"Matamoros, Tamaulipas","Miami, FL ","(-101.0, 20.9876996)","(-97.5017951, 25.8520977)","(-80.19362, 25.7741728)","LINESTRING (-101 20.9876996, -97.5017951 25.8520977, -80.19362 25.7741728)"
1973,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -118.1362299 33.760599)"
1970,"León, Guanajuato","Tijuana, Baja California del Norte","San Diego, CA ","(-101.6825081, 21.1218598)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-101.6825081 21.1218598, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1976,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-103.6666671, 20.3333331)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-103.6666671 20.3333331, -117.0412813 32.5132984, -118.1362299 33.760599)"
1978,Jalisco,"Puerto Peñasco, Sonora","Phoenix-Mesa, AZ ","(-103.6666671, 20.3333331)","(-113.38971892127962, 31.530171799999998)","(-111.6526441150196, 33.30591455)","LINESTRING (-103.6666671 20.3333331, -113.3897189212796 31.5301718, -111.6526441150196 33.30591455)"
1971,"León, Guanajuato","Tijuana, Baja California del Norte","San Diego, CA ","(-101.6825081, 21.1218598)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-101.6825081 21.1218598, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1981,"San Francisco del Rincón, Guanajuato","Tijuana, Baja California del Norte","San Diego, CA ","(-101.79832877670424, 20.92484015)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-101.7983287767042 20.92484015, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1968,México,"San Luis Río Colorado, Sonora","Riverside-San Bernardino, CA ","(-100.000037, 22.5000485)","(-114.29077314185326, 31.9939146)","(-117.3455744, 34.0109957)","LINESTRING (-100.000037 22.5000485, -114.2907731418533 31.9939146, -117.3455744 34.0109957)"
1978,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-103.6666671 20.3333331, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1977,"León, Guanajuato","Tijuana, Baja California del Norte","San Diego, CA ","(-101.6825081, 21.1218598)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-101.6825081 21.1218598, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1976,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-103.6666671, 20.3333331)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-103.6666671 20.3333331, -117.0412813 32.5132984, -118.1362299 33.760599)"
1973,Jalisco,"Tijuana, Baja California del Norte","Ventura, CA ","(-103.6666671, 20.3333331)","(-117.0412813, 32.5132984)","(-119.0779359, 34.4458248)","LINESTRING (-103.6666671 20.3333331, -117.0412813 32.5132984, -119.0779359 34.4458248)"
1979,"Culiacan, Sinaloa","Tijuana, Baja California del Norte","San Diego, CA ","(-107.393395, 24.7978965)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-107.393395 24.7978965, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1979,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-103.6666671 20.3333331, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1976,Jalisco,"Mexicali, Baja California del Norte","Chicago, IL ","(-103.6666671, 20.3333331)","(-115.506256, 32.658421)","(-88.125016, 42.371614)","LINESTRING (-103.6666671 20.3333331, -115.506256 32.658421, -88.125016 42.371614)"
1979,"Mexicali, Baja California del Norte","Tijuana, Baja California del Norte","San Diego, CA ","(-115.506256, 32.658421)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-115.506256 32.658421, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1975,"Purísima del Rincón, Guanajuato","Tijuana, Baja California del Norte","San Diego, CA ","(-101.90609861948485, 20.9410576)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-101.9060986194849 20.9410576, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1979,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-103.6666671 20.3333331, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1973,"Delicias, Chihuahua","Tijuana, Baja California del Norte","San Diego, CA ","(-105.469426, 28.1909814)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-105.469426 28.1909814, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1979,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-103.6666671 20.3333331, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1977,"León, Guanajuato","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.6825081, 21.1218598)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-101.6825081 21.1218598, -117.0412813 32.5132984, -118.1362299 33.760599)"
1981,"San Francisco del Rincón, Guanajuato","Tijuana, Baja California del Norte","Orange County, CA ","(-101.79832877670424, 20.92484015)","(-117.0412813, 32.5132984)","(-117.8704931, 33.7500378)","LINESTRING (-101.7983287767042 20.92484015, -117.0412813 32.5132984, -117.8704931 33.7500378)"
1973,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-103.6666671 20.3333331, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1979,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-103.6666671 20.3333331, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1979,"Arandas, Jalisco","Tijuana, Baja California del Norte","Bakersfield, CA ","(-102.3142822111025, 20.74931205)","(-117.0412813, 32.5132984)","(-119.0194639, 35.3738712)","LINESTRING (-102.3142822111025 20.74931205, -117.0412813 32.5132984, -119.0194639 35.3738712)"
1966,"San Francisco del Rincón, Guanajuato","Mexicali, Baja California del Norte","Fresno, CA ","(-101.79832877670424, 20.92484015)","(-115.506256, 32.658421)","(-119.7848307, 36.7394421)","LINESTRING (-101.7983287767042 20.92484015, -115.506256 32.658421, -119.7848307 36.7394421)"
1974,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-103.6666671 20.3333331, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1977,Jalisco,"San Luis Río Colorado, Sonora","Fresno, CA ","(-103.6666671, 20.3333331)","(-114.29077314185326, 31.9939146)","(-119.7848307, 36.7394421)","LINESTRING (-103.6666671 20.3333331, -114.2907731418533 31.9939146, -119.7848307 36.7394421)"
1973,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-103.6666671, 20.3333331)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-103.6666671 20.3333331, -117.0412813 32.5132984, -118.1362299 33.760599)"
1979,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-103.6666671 20.3333331, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1973,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-103.6666671 20.3333331, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1978,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-103.6666671 20.3333331, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1968,"León, Guanajuato","Mexicali, Baja California del Norte","Bakersfield, CA ","(-101.6825081, 21.1218598)","(-115.506256, 32.658421)","(-119.0194639, 35.3738712)","LINESTRING (-101.6825081 21.1218598, -115.506256 32.658421, -119.0194639 35.3738712)"
1977,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-103.6666671, 20.3333331)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-103.6666671 20.3333331, -117.0412813 32.5132984, -118.1362299 33.760599)"
1981,"Zapotlán El Grande, Jalisco","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-103.51064802186409, 19.697346500000002)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-103.5106480218641 19.6973465, -117.0412813 32.5132984, -118.1362299 33.760599)"
1972,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-103.6666671 20.3333331, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1971,"Purísima del Rincón, Guanajuato","Tijuana, Baja California del Norte","San Francisco, CA ","(-101.90609861948485, 20.9410576)","(-117.0412813, 32.5132984)","(-122.419906, 37.7790262)","LINESTRING (-101.9060986194849 20.9410576, -117.0412813 32.5132984, -122.419906 37.7790262)"
1975,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-103.6666671 20.3333331, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1974,Jalisco,"Tijuana, Baja California del Norte","Riverside-San Bernardino, CA ","(-103.6666671, 20.3333331)","(-117.0412813, 32.5132984)","(-117.3455744, 34.0109957)","LINESTRING (-103.6666671 20.3333331, -117.0412813 32.5132984, -117.3455744 34.0109957)"
1982,"San Francisco del Rincón, Guanajuato","Tijuana, Baja California del Norte","Chicago, IL ","(-101.79832877670424, 20.92484015)","(-117.0412813, 32.5132984)","(-88.125016, 42.371614)","LINESTRING (-101.7983287767042 20.92484015, -117.0412813 32.5132984, -88.125016 42.371614)"
1969,"León, Guanajuato","Matamoros, Tamaulipas","Chicago, IL ","(-101.6825081, 21.1218598)","(-97.5017951, 25.8520977)","(-88.125016, 42.371614)","LINESTRING (-101.6825081 21.1218598, -97.5017951 25.8520977, -88.125016 42.371614)"
1979,"León, Guanajuato","Tijuana, Baja California del Norte","San Diego, CA ","(-101.6825081, 21.1218598)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-101.6825081 21.1218598, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1978,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-103.6666671 20.3333331, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1978,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-103.6666671 20.3333331, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1983,Jalisco,"Tijuana, Baja California del Norte","Fresno, CA ","(-103.6666671, 20.3333331)","(-117.0412813, 32.5132984)","(-119.7848307, 36.7394421)","LINESTRING (-103.6666671 20.3333331, -117.0412813 32.5132984, -119.7848307 36.7394421)"
1983,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Riverside-San Bernardino, CA ","(-99.1269583, 19.2667215)","(-117.0412813, 32.5132984)","(-117.3455744, 34.0109957)","LINESTRING (-99.1269583 19.2667215, -117.0412813 32.5132984, -117.3455744 34.0109957)"
1979,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-103.6666671 20.3333331, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1973,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-103.6666671 20.3333331, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1975,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-103.6666671, 20.3333331)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-103.6666671 20.3333331, -117.0412813 32.5132984, -118.1362299 33.760599)"
1985,"San Francisco del Rincón, Guanajuato","Tijuana, Baja California del Norte","San Diego, CA ","(-101.79832877670424, 20.92484015)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-101.7983287767042 20.92484015, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1974,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-103.6666671 20.3333331, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1977,"León, Guanajuato","Tijuana, Baja California del Norte","San Diego, CA ","(-101.6825081, 21.1218598)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-101.6825081 21.1218598, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1973,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-103.6666671 20.3333331, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1973,"León, Guanajuato","Tijuana, Baja California del Norte","Ventura, CA ","(-101.6825081, 21.1218598)","(-117.0412813, 32.5132984)","(-119.0779359, 34.4458248)","LINESTRING (-101.6825081 21.1218598, -117.0412813 32.5132984, -119.0779359 34.4458248)"
1985,Guanajuato,"Reynosa, Tamaulipas","Merced, CA ","(-101.0, 20.9876996)","(-98.2963932, 26.0704018)","(-120.7678602, 37.1641544)","LINESTRING (-101 20.9876996, -98.2963932 26.0704018, -120.7678602 37.1641544)"
1981,Guanajuato,"Tijuana, Baja California del Norte","Fresno, CA ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-119.7848307, 36.7394421)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -119.7848307 36.7394421)"
1987,Guanajuato,"Tijuana, Baja California del Norte","Fresno, CA ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-119.7848307, 36.7394421)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -119.7848307 36.7394421)"
1986,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -118.1362299 33.760599)"
1972,Guanajuato,"Mexicali, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-115.506256, 32.658421)","(-118.1362299, 33.760599)","LINESTRING (-101 20.9876996, -115.506256 32.658421, -118.1362299 33.760599)"
1987,Guanajuato,"Tijuana, Baja California del Norte","Fresno, CA ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-119.7848307, 36.7394421)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -119.7848307 36.7394421)"
1980,Guanajuato,"Tijuana, Baja California del Norte","Merced, CA ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-120.7678602, 37.1641544)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -120.7678602 37.1641544)"
1968,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -118.1362299 33.760599)"
1962,Guanajuato,"Nuevo Laredo, Tamaulipas","El Paso, TX ","(-101.0, 20.9876996)","(-99.5185992, 27.4761506)","(-106.464634, 31.7754152)","LINESTRING (-101 20.9876996, -99.5185992 27.4761506, -106.464634 31.7754152)"
1980,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -118.1362299 33.760599)"
1977,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -118.1362299 33.760599)"
1963,Guanajuato,"Juárez, Chihuahua","Fresno, CA ","(-101.0, 20.9876996)","(-106.0277621, 28.6517723)","(-119.7848307, 36.7394421)","LINESTRING (-101 20.9876996, -106.0277621 28.6517723, -119.7848307 36.7394421)"
1972,"León, Guanajuato","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.6825081, 21.1218598)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-101.6825081 21.1218598, -117.0412813 32.5132984, -118.1362299 33.760599)"
1988,Guanajuato,"Tijuana, Baja California del Norte","Orange County, CA ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-117.8704931, 33.7500378)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -117.8704931 33.7500378)"
1977,Guanajuato,"Tijuana, Baja California del Norte","Ventura, CA ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-119.0779359, 34.4458248)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -119.0779359 34.4458248)"
1980,Guanajuato,"Juárez, Chihuahua","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-106.0277621, 28.6517723)","(-118.1362299, 33.760599)","LINESTRING (-101 20.9876996, -106.0277621 28.6517723, -118.1362299 33.760599)"
1987,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -118.1362299 33.760599)"
