crsyr,origin_loc,cross_loc,us_loc,origin_coords,cross_coords,us_coords,flow
1982,Carazo,"Tijuana, Baja California del Norte","San Francisco, CA ","(-86.3090376, 11.6635659)","(-117.0412813, 32.5132984)","(-122.419906, 37.7790262)","LINESTRING (-86.3090376 11.6635659, -117.0412813 32.5132984, -122.419906 37.7790262)"
1988,"Managua, Managua","Matamoros, Tamaulipas","Miami, FL ","(-86.2746665, 12.1459907)","(-97.5017951, 25.8520977)","(-80.19362, 25.7741728)","LINESTRING (-86.2746665 12.1459907, -97.5017951 25.8520977, -80.19362 25.7741728)"
1986,"Jinotepe, Carazo","Matamoros, Tamaulipas","Miami, FL ","(-86.1990863, 11.8471433)","(-97.5017951, 25.8520977)","(-80.19362, 25.7741728)","LINESTRING (-86.1990863 11.8471433, -97.5017951 25.8520977, -80.19362 25.7741728)"
1992,"Managua, Managua","Matamoros, Tamaulipas","Miami, FL ","(-86.2746665, 12.1459907)","(-97.5017951, 25.8520977)","(-80.19362, 25.7741728)","LINESTRING (-86.2746665 12.1459907, -97.5017951 25.8520977, -80.19362 25.7741728)"
1995,León,"Matamoros, Tamaulipas","Los Angeles-Long Beach, CA ","(-86.8773498, 12.4345376)","(-97.5017951, 25.8520977)","(-118.1362299, 33.760599)","LINESTRING (-86.8773498 12.4345376, -97.5017951 25.8520977, -118.1362299 33.760599)"
1987,León,"Reynosa, Tamaulipas","Los Angeles-Long Beach, CA ","(-86.8773498, 12.4345376)","(-98.2963932, 26.0704018)","(-118.1362299, 33.760599)","LINESTRING (-86.8773498 12.4345376, -98.2963932 26.0704018, -118.1362299 33.760599)"
1987,"Managua, Managua","Matamoros, Tamaulipas","Miami, FL ","(-86.2746665, 12.1459907)","(-97.5017951, 25.8520977)","(-80.19362, 25.7741728)","LINESTRING (-86.2746665 12.1459907, -97.5017951 25.8520977, -80.19362 25.7741728)"
1987,Estelí,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-86.4554189, 13.2455577)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-86.4554189 13.2455577, -117.0412813 32.5132984, -118.1362299 33.760599)"
1995,Estelí,"Nogales, Sonora","Miami, FL ","(-86.4554189, 13.2455577)","(-108.9248649, 28.3713765)","(-80.19362, 25.7741728)","LINESTRING (-86.4554189 13.2455577, -108.9248649 28.3713765, -80.19362 25.7741728)"
2000,Estelí,"Juárez, Chihuahua","Los Angeles-Long Beach, CA ","(-86.4554189, 13.2455577)","(-106.0277621, 28.6517723)","(-118.1362299, 33.760599)","LINESTRING (-86.4554189 13.2455577, -106.0277621 28.6517723, -118.1362299 33.760599)"
1988,Estelí,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-86.4554189, 13.2455577)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-86.4554189 13.2455577, -117.0412813 32.5132984, -118.1362299 33.760599)"
1981,"Managua, Managua","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-86.2746665, 12.1459907)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-86.2746665 12.1459907, -117.0412813 32.5132984, -118.1362299 33.760599)"
1987,"Managua, Managua","Matamoros, Tamaulipas","Miami, FL ","(-86.2746665, 12.1459907)","(-97.5017951, 25.8520977)","(-80.19362, 25.7741728)","LINESTRING (-86.2746665 12.1459907, -97.5017951 25.8520977, -80.19362 25.7741728)"
