crsyr1,origin_loc,cross_loc,us_loc,origin_coords,cross_coords,us_coords
1972,Guanajuato,"Tijuana, Baja California del Norte","Chicago, IL ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-87.6244212, 41.8755616)"
1980,Guanajuato,"Tijuana, Baja California del Norte","San Diego, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1978,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1980,Guanajuato,"Tijuana, Baja California del Norte","San Jose, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-121.890583, 37.3361905)"
1975,Guanajuato,"Nuevo Laredo, Tamaulipas","Chicago, IL ","(-101.0, 20.9876996)","(-99.5185992, 27.4761506)","(-87.6244212, 41.8755616)"
1946,Guanajuato,"Tijuana, Baja California del Norte",,"(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1978,Guanajuato,"Tijuana, Baja California del Norte","San Diego, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1950,Guanajuato,"Tijuana, Baja California del Norte","Santa Cruz-Watsonville, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-121.7658825, 36.8994945)"
1947,"Monterrey, Nuevo León","Matamoros, Tamaulipas","San Antonio, TX ","(-100.315258, 25.6802019)","(-97.5017951, 25.8520977)","(-98.4951405, 29.4246002)"
1986,Guanajuato,"Tijuana, Baja California del Norte","San Diego, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1978,"León, Guanajuato","Tijuana, Baja California del Norte","Orange County, CA ","(-101.6825081, 21.1218598)","(-116.964662, 32.5010188)","(-117.8704931, 33.7500378)"
1980,Guanajuato,"Tijuana, Baja California del Norte","San Diego, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1924,Guanajuato,"Juárez, Chihuahua","Kansas City, MO-KS ","(-101.0, 20.9876996)","(-106.0277621, 28.6517723)","(-94.6103616, 39.0904745)"
1966,Guanajuato,"Tijuana, Baja California del Norte","San Diego, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1975,Guanajuato,"Juárez, Chihuahua","Chicago, IL ","(-101.0, 20.9876996)","(-106.0277621, 28.6517723)","(-87.6244212, 41.8755616)"
1982,"Cochoapa el Grande, Jalisco","Tijuana, Baja California del Norte","Reno, NV ",Fail,"(-116.964662, 32.5010188)","(-119.8126581, 39.5261206)"
1972,"León, Guanajuato","Tijuana, Baja California del Norte","Chicago, IL ","(-101.6825081, 21.1218598)","(-116.964662, 32.5010188)","(-87.6244212, 41.8755616)"
1974,Guanajuato,"Tijuana, Baja California del Norte",,"(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1988,Guanajuato,"Reynosa, Tamaulipas",,"(-101.0, 20.9876996)","(-98.2963932, 26.0704018)","(11.0480288, 46.3144754)"
1980,"León, Guanajuato","Tijuana, Baja California del Norte","San Diego, CA ","(-101.6825081, 21.1218598)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1987,Guanajuato,"Reynosa, Tamaulipas",,"(-101.0, 20.9876996)","(-98.2963932, 26.0704018)","(11.0480288, 46.3144754)"
1969,Guanajuato,"Reynosa, Tamaulipas",,"(-101.0, 20.9876996)","(-98.2963932, 26.0704018)","(11.0480288, 46.3144754)"
1974,Guanajuato,"Mexicali, Baja California del Norte","San Diego, CA ","(-101.0, 20.9876996)","(-115.448325, 32.6248622)","(-117.1627728, 32.7174202)"
1985,Guanajuato,"Nuevo Laredo, Tamaulipas","Chicago, IL ","(-101.0, 20.9876996)","(-99.5185992, 27.4761506)","(-87.6244212, 41.8755616)"
1976,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Fresno, CA ","(-99.1248161, 19.3997047)","(-116.964662, 32.5010188)","(-119.7848307, 36.7394421)"
1985,"León, Guanajuato","Tijuana, Baja California del Norte",,"(-101.6825081, 21.1218598)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1970,Guanajuato,"Mexicali, Baja California del Norte",,"(-101.0, 20.9876996)","(-115.448325, 32.6248622)","(11.0480288, 46.3144754)"
1966,Guanajuato,"Nuevo Laredo, Tamaulipas",,"(-101.0, 20.9876996)","(-99.5185992, 27.4761506)","(11.0480288, 46.3144754)"
1956,Guanajuato,"Nuevo Laredo, Tamaulipas","Santa Barbara-Santa Maria-Lompoc, CA ","(-101.0, 20.9876996)","(-99.5185992, 27.4761506)","(-120.508049, 34.675904)"
1966,Guanajuato,"Matamoros, Tamaulipas","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-97.5017951, 25.8520977)","(-118.2400932, 33.7689643)"
1974,"Tijuana, Baja California del Norte","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-116.964662, 32.5010188)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1970,Guanajuato,"Tijuana, Baja California del Norte","San Jose, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-121.890583, 37.3361905)"
1985,Guanajuato,"Tijuana, Baja California del Norte","Santa Cruz-Watsonville, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-121.7658825, 36.8994945)"
1970,Guanajuato,"Tijuana, Baja California del Norte","Ventura, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-119.0779359, 34.4458248)"
1980,Guanajuato,"Piedras Negras, Coahuila de Zaragoza","Kansas City, MO-KS ","(-101.0, 20.9876996)","(-100.5267104, 28.6998135)","(-94.6103616, 39.0904745)"
1979,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1969,"Ciudad de México, Distrito Federal","Mexicali, Baja California del Norte","Santa Cruz-Watsonville, CA ","(-99.1248161, 19.3997047)","(-115.448325, 32.6248622)","(-121.7658825, 36.8994945)"
1977,Guanajuato,"Tijuana, Baja California del Norte","San Diego, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1979,Guanajuato,"Mexicali, Baja California del Norte","Reno, NV ","(-101.0, 20.9876996)","(-115.448325, 32.6248622)","(-119.8126581, 39.5261206)"
1969,Guanajuato,"Mexicali, Baja California del Norte","Merced, CA ","(-101.0, 20.9876996)","(-115.448325, 32.6248622)","(-120.7678602, 37.1641544)"
1985,Guanajuato,"Tijuana, Baja California del Norte","Reno, NV ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-119.8126581, 39.5261206)"
1971,Guanajuato,"Tijuana, Baja California del Norte","San Diego, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1986,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1969,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-99.1248161, 19.3997047)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1979,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1979,Guanajuato,"Tijuana, Baja California del Norte","Bakersfield, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-119.0194639, 35.3738712)"
1984,Guanajuato,"Mexicali, Baja California del Norte",,"(-101.0, 20.9876996)","(-115.448325, 32.6248622)","(11.0480288, 46.3144754)"
1977,Guanajuato,"Tijuana, Baja California del Norte",,"(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1956,"San Francisco del Rincón, Guanajuato","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.79832877670424, 20.92484015)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1967,Guanajuato,"Tijuana, Baja California del Norte",,"(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1941,Guanajuato,"Matamoros, Tamaulipas","San Antonio, TX ","(-101.0, 20.9876996)","(-97.5017951, 25.8520977)","(-98.4951405, 29.4246002)"
1984,Guanajuato,"Matamoros, Tamaulipas","Miami, FL ","(-101.0, 20.9876996)","(-97.5017951, 25.8520977)","(-80.19362, 25.7741728)"
1973,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1980,"Guanajuato, Guanajuato","Mexicali, Baja California del Norte",,"(-101.2528406, 21.0158848)","(-115.448325, 32.6248622)","(11.0480288, 46.3144754)"
1970,"León, Guanajuato","Tijuana, Baja California del Norte","San Diego, CA ","(-101.6825081, 21.1218598)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1976,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1978,"Zitlala, Jalisco","Tijuana, Baja California del Norte","San Diego, CA ",Fail,"(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1924,Jalisco,"Nuevo Laredo, Tamaulipas",,"(-103.6666671, 20.3333331)","(-99.5185992, 27.4761506)","(11.0480288, 46.3144754)"
1975,Jalisco,"Tijuana, Baja California del Norte",,"(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1978,Jalisco,"Puerto Peñasco, Sonora","Phoenix-Mesa, AZ ","(-103.6666671, 20.3333331)","(-113.38971892127962, 31.530171799999998)","(-111.6526441150196, 33.30591455)"
1971,"León, Guanajuato","Tijuana, Baja California del Norte","San Diego, CA ","(-101.6825081, 21.1218598)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1970,Jalisco,"Tijuana, Baja California del Norte","Vallejo-Fairfield-Napa, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)",Fail
1981,"San Francisco del Rincón, Guanajuato","Tijuana, Baja California del Norte","San Diego, CA ","(-101.79832877670424, 20.92484015)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1977,Jalisco,"Tijuana, Baja California del Norte",,"(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1976,"Zitlala, Jalisco","Tijuana, Baja California del Norte","San Diego, CA ",Fail,"(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1968,México,"San Luis Río Colorado, Sonora","Riverside-San Bernardino, CA ","(-100.000037, 22.5000485)","(-114.29077314185326, 31.9939146)","(-117.3455744, 34.0109957)"
1978,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1979,Jalisco,"Tijuana, Baja California del Norte","Vallejo-Fairfield-Napa, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)",Fail
1988,Jalisco,"Agua Prieta, Sonora","Vallejo-Fairfield-Napa, CA ","(-103.6666671, 20.3333331)","(-109.5425509, 31.3179664)",Fail
1944,"Ciudad de México, Distrito Federal","Matamoros, Tamaulipas","Vallejo-Fairfield-Napa, CA ","(-99.1248161, 19.3997047)","(-97.5017951, 25.8520977)",Fail
1977,"León, Guanajuato","Tijuana, Baja California del Norte","San Diego, CA ","(-101.6825081, 21.1218598)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1976,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1979,"Arandas, Jalisco","Tijuana, Baja California del Norte","Vallejo-Fairfield-Napa, CA ","(-102.3142822111025, 20.74931205)","(-116.964662, 32.5010188)",Fail
1950,Jalisco,"Juárez, Chihuahua",,"(-103.6666671, 20.3333331)","(-106.0277621, 28.6517723)","(11.0480288, 46.3144754)"
1976,Jalisco,"Tijuana, Baja California del Norte",,"(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1973,Jalisco,"Tijuana, Baja California del Norte","Ventura, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-119.0779359, 34.4458248)"
1979,"Culiacan, Sinaloa","Tijuana, Baja California del Norte","San Diego, CA ","(-107.393395, 24.7978965)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1972,"San Francisco del Rincón, Guanajuato","Tijuana, Baja California del Norte","Vallejo-Fairfield-Napa, CA ","(-101.79832877670424, 20.92484015)","(-116.964662, 32.5010188)",Fail
1970,Jalisco,"Tijuana, Baja California del Norte","Vallejo-Fairfield-Napa, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)",Fail
1979,"Zitlala, Jalisco","Tijuana, Baja California del Norte","Orange County, CA ",Fail,"(-116.964662, 32.5010188)","(-117.8704931, 33.7500378)"
1976,"Tijuana, Baja California del Norte","Tijuana, Baja California del Norte","Vallejo-Fairfield-Napa, CA ","(-116.964662, 32.5010188)","(-116.964662, 32.5010188)",Fail
1979,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1979,"San Francisco del Rincón, Guanajuato","Tijuana, Baja California del Norte","Vallejo-Fairfield-Napa, CA ","(-101.79832877670424, 20.92484015)","(-116.964662, 32.5010188)",Fail
1945,"Ciudad de México, Distrito Federal","San Luis Río Colorado, Sonora",,"(-99.1248161, 19.3997047)","(-114.29077314185326, 31.9939146)","(11.0480288, 46.3144754)"
1969,"Cochoapa el Grande, Jalisco","Mexicali, Baja California del Norte","Vallejo-Fairfield-Napa, CA ",Fail,"(-115.448325, 32.6248622)",Fail
1976,Jalisco,"Mexicali, Baja California del Norte","Chicago, IL ","(-103.6666671, 20.3333331)","(-115.448325, 32.6248622)","(-87.6244212, 41.8755616)"
1985,"Purísima del Rincón, Guanajuato","Nuevo Laredo, Tamaulipas",,"(-101.90609861948485, 20.9410576)","(-99.5185992, 27.4761506)","(11.0480288, 46.3144754)"
1979,"Mexicali, Baja California del Norte","Tijuana, Baja California del Norte","San Diego, CA ","(-115.448325, 32.6248622)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1980,Jalisco,"Tijuana, Baja California del Norte","Vallejo-Fairfield-Napa, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)",Fail
1975,"Purísima del Rincón, Guanajuato","Tijuana, Baja California del Norte","San Diego, CA ","(-101.90609861948485, 20.9410576)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1980,Jalisco,"Tijuana, Baja California del Norte",,"(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1979,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1973,"Delicias, Chihuahua","Tijuana, Baja California del Norte","San Diego, CA ","(-105.469426, 28.1909814)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1979,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1986,Jalisco,"Tijuana, Baja California del Norte","Vallejo-Fairfield-Napa, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)",Fail
1979,"San Francisco del Rincón, Guanajuato","Tijuana, Baja California del Norte",,"(-101.79832877670424, 20.92484015)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1977,"León, Guanajuato","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.6825081, 21.1218598)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1981,"San Francisco del Rincón, Guanajuato","Tijuana, Baja California del Norte","Orange County, CA ","(-101.79832877670424, 20.92484015)","(-116.964662, 32.5010188)","(-117.8704931, 33.7500378)"
1979,"Purísima del Rincón, Guanajuato","Tijuana, Baja California del Norte","Vallejo-Fairfield-Napa, CA ","(-101.90609861948485, 20.9410576)","(-116.964662, 32.5010188)",Fail
1973,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1979,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1986,"San Francisco del Rincón, Guanajuato","Tijuana, Baja California del Norte","Vallejo-Fairfield-Napa, CA ","(-101.79832877670424, 20.92484015)","(-116.964662, 32.5010188)",Fail
1979,"Arandas, Jalisco","Tijuana, Baja California del Norte","Bakersfield, CA ","(-102.3142822111025, 20.74931205)","(-116.964662, 32.5010188)","(-119.0194639, 35.3738712)"
1976,"Zitlala, Jalisco","Tijuana, Baja California del Norte","San Diego, CA ",Fail,"(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1966,"San Francisco del Rincón, Guanajuato","Mexicali, Baja California del Norte","Fresno, CA ","(-101.79832877670424, 20.92484015)","(-115.448325, 32.6248622)","(-119.7848307, 36.7394421)"
1974,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1981,Jalisco,"Tijuana, Baja California del Norte",,"(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1977,Jalisco,"San Luis Río Colorado, Sonora","Fresno, CA ","(-103.6666671, 20.3333331)","(-114.29077314185326, 31.9939146)","(-119.7848307, 36.7394421)"
1973,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1971,"Zitlala, Jalisco","Matamoros, Tamaulipas","Chicago, IL ",Fail,"(-97.5017951, 25.8520977)","(-87.6244212, 41.8755616)"
1973,Jalisco,"Tijuana, Baja California del Norte","Vallejo-Fairfield-Napa, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)",Fail
1965,"San Francisco del Rincón, Guanajuato","Mexicali, Baja California del Norte",,"(-101.79832877670424, 20.92484015)","(-115.448325, 32.6248622)","(11.0480288, 46.3144754)"
1985,"Zitlala, Jalisco","Tijuana, Baja California del Norte","Vallejo-Fairfield-Napa, CA ",Fail,"(-116.964662, 32.5010188)",Fail
1974,Jalisco,"Tijuana, Baja California del Norte","Vallejo-Fairfield-Napa, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)",Fail
1979,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1955,", México","Reynosa, Tamaulipas",,"(-100.000037, 22.5000485)","(-98.2963932, 26.0704018)","(11.0480288, 46.3144754)"
1988,,"Tijuana, Baja California del Norte","Riverside-San Bernardino, CA ","(11.0480288, 46.3144754)","(-116.964662, 32.5010188)","(-117.3455744, 34.0109957)"
1973,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1987,"San Francisco del Rincón, Guanajuato","Tijuana, Baja California del Norte",,"(-101.79832877670424, 20.92484015)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1978,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1968,"León, Guanajuato","Mexicali, Baja California del Norte","Bakersfield, CA ","(-101.6825081, 21.1218598)","(-115.448325, 32.6248622)","(-119.0194639, 35.3738712)"
1983,"San Francisco del Rincón, Guanajuato","Tijuana, Baja California del Norte","Vallejo-Fairfield-Napa, CA ","(-101.79832877670424, 20.92484015)","(-116.964662, 32.5010188)",Fail
1977,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1943,", México","Matamoros, Tamaulipas",,"(-100.000037, 22.5000485)","(-97.5017951, 25.8520977)","(11.0480288, 46.3144754)"
1972,"Zitlala, Jalisco","Tijuana, Baja California del Norte",,Fail,"(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1970,"Cochoapa el Grande, Jalisco","Matamoros, Tamaulipas","Los Angeles-Long Beach, CA ",Fail,"(-97.5017951, 25.8520977)","(-118.2400932, 33.7689643)"
1981,"Zapotlán El Grande, Jalisco","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-103.51064802186409, 19.697346500000002)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1971,"Zitlala, Jalisco","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ",Fail,"(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1972,"Torreón, Coahuila de Zaragoza","Tijuana, Baja California del Norte",,"(-103.410512, 25.542698)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1928,Jalisco,"Juárez, Chihuahua",,"(-103.6666671, 20.3333331)","(-106.0277621, 28.6517723)","(11.0480288, 46.3144754)"
1972,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1972,Jalisco,"Juárez, Chihuahua",,"(-103.6666671, 20.3333331)","(-106.0277621, 28.6517723)","(11.0480288, 46.3144754)"
1977,Jalisco,"Matamoros, Tamaulipas","Vallejo-Fairfield-Napa, CA ","(-103.6666671, 20.3333331)","(-97.5017951, 25.8520977)",Fail
1971,"Purísima del Rincón, Guanajuato","Tijuana, Baja California del Norte","San Francisco, CA ","(-101.90609861948485, 20.9410576)","(-116.964662, 32.5010188)","(-122.419906, 37.7790262)"
1984,"León, Guanajuato","Tijuana, Baja California del Norte","Vallejo-Fairfield-Napa, CA ","(-101.6825081, 21.1218598)","(-116.964662, 32.5010188)",Fail
1975,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1974,Jalisco,"Tijuana, Baja California del Norte","Riverside-San Bernardino, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-117.3455744, 34.0109957)"
1982,"San Francisco del Rincón, Guanajuato","Tijuana, Baja California del Norte","Chicago, IL ","(-101.79832877670424, 20.92484015)","(-116.964662, 32.5010188)","(-87.6244212, 41.8755616)"
1980,"Zitlala, Jalisco","Tijuana, Baja California del Norte","San Diego, CA ",Fail,"(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1975,Jalisco,"Tijuana, Baja California del Norte","Vallejo-Fairfield-Napa, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)",Fail
1969,"León, Guanajuato","Matamoros, Tamaulipas","Chicago, IL ","(-101.6825081, 21.1218598)","(-97.5017951, 25.8520977)","(-87.6244212, 41.8755616)"
1979,"León, Guanajuato","Tijuana, Baja California del Norte","San Diego, CA ","(-101.6825081, 21.1218598)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1979,"León, Guanajuato","Tijuana, Baja California del Norte",,"(-101.6825081, 21.1218598)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1978,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1978,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1983,Jalisco,"Tijuana, Baja California del Norte","Fresno, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-119.7848307, 36.7394421)"
1983,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Riverside-San Bernardino, CA ","(-99.1248161, 19.3997047)","(-116.964662, 32.5010188)","(-117.3455744, 34.0109957)"
1979,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1973,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1975,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1985,"San Francisco del Rincón, Guanajuato","Tijuana, Baja California del Norte","San Diego, CA ","(-101.79832877670424, 20.92484015)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1974,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1977,"León, Guanajuato","Tijuana, Baja California del Norte","San Diego, CA ","(-101.6825081, 21.1218598)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1973,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1987,Jalisco,"Tijuana, Baja California del Norte",,"(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1973,"León, Guanajuato","Tijuana, Baja California del Norte","Ventura, CA ","(-101.6825081, 21.1218598)","(-116.964662, 32.5010188)","(-119.0779359, 34.4458248)"
1985,Guanajuato,"Reynosa, Tamaulipas","Merced, CA ","(-101.0, 20.9876996)","(-98.2963932, 26.0704018)","(-120.7678602, 37.1641544)"
1981,Guanajuato,"Tijuana, Baja California del Norte","Fresno, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-119.7848307, 36.7394421)"
1987,Guanajuato,"Tijuana, Baja California del Norte","Fresno, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-119.7848307, 36.7394421)"
1986,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1972,Guanajuato,"Mexicali, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-115.448325, 32.6248622)","(-118.2400932, 33.7689643)"
1987,Guanajuato,"Tijuana, Baja California del Norte","Fresno, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-119.7848307, 36.7394421)"
1980,Guanajuato,"Tijuana, Baja California del Norte","Merced, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-120.7678602, 37.1641544)"
1968,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1964,Guanajuato,"Tijuana, Baja California del Norte",,"(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1962,Guanajuato,"Nuevo Laredo, Tamaulipas","El Paso, TX ","(-101.0, 20.9876996)","(-99.5185992, 27.4761506)","(-106.464634, 31.7754152)"
